Hauptkategorie (neu);Unterkategorie (neu);Top-Rang;Relevanz 1-5;Produktname;Bild;Beschreibung (max. 500 Zeichen);Feature / USP (Hauptbotschaft);Sekundäre Information;Link Ferronato-Shop;Sparte/Farbe;Preis CHF exkl. MwSt;Art.-Nr.;Verfügbarkeit;Alte Shop-Unterkategorie;Begründung Top
03 Bohren & Fräsen;Bohrhammer;;4;FLEX Kombi-Bohrhammer Akku CHE 18.0-EC C;https://shop.ferronato.ch/images/product/large/6863.jpg;FLEX Akku-Kombi-Bohrhammer mit bürstenlosem Motor, Funktionsschalter für Bohren, Hammerbohren und Meisseln. SDS-plus-Werkzeugaufnahme, max. Einzelschlagenergie 1.7 J, max. Bohr-Ø Beton 18 mm, 18 V, Gewicht 2.0 kg ohne Akku.;Kompakter Akku-Bohrhammer für Bohren und leichte Meisselarbeiten.;Betrieb mit FLEX 18-V-Akkus 2.5/5.0/8.0 Ah, ohne Akku und Ladegerät geliefert.;https://shop.ferronato.ch/de/product/6863/flex-kombi-bohrhammer-akku-che-18-0-ec-c?CatID=216;Plattenleger;18.0;050-356;ab Lager;Elektrogeräte, Mit Akku;Vielseitiges, kompaktes Kernwerkzeug für den täglichen Baustelleneinsatz.
03 Bohren & Fräsen;Bohrkronen & Kernbohren;1;5;BETCUT DRY M14 Diamantbohrkronen trocken/grob;https://shop.ferronato.ch/images/product/large/4031.jpg;BETCUT DRY M14 Diamantbohrkrone, Trockenbohrkrone vacuum brazed, mit vollem, grobkörnigem Diamantbelag, stabiler Stahlkörper mit M14-Innengewinde, geeignet für alle Materialien im Trockenbohrverfahren, Drehgeschwindigkeit 2000-10000 U/min.;Robuste Trocken-Diamantbohrkrone für Löcher in allen Materialien.;Durchmesser 5 bis 150 mm, Aufnahme M14, ab CHF 20.00.;https://shop.ferronato.ch/de/product/4031/betcut-dry-m14-diamantbohrkronen-trocken-grob?CatID=216;Plattenleger;20.0;;;Diamantwerkzeuge, Diamantbohrkronen;BETCUT DRY M14 Bohrkronen, tägliches Verbrauchswerkzeug für Armaturenlöcher.
03 Bohren & Fräsen;Bohrkronen & Kernbohren;4;3;CoolGEL zum bohren in Keramik & Feinsteinzeug, Inhalt 250ml;https://shop.ferronato.ch/images/product/large/7465.jpg;Kühlendes Bohrgel für sauberes, staubfreies Bohren in Feinsteinzeug und Keramik. Bindet Bohrschmutz, kühlt den Bohrer effektiv wie Wasserkühlung, erhöht Bohrgeschwindigkeit und Standzeit. Für horizontale und vertikale Flächen geeignet. Für Bohrer bis 35 mm Durchmesser, Inhalt 250 g, reicht für ca. 20-25 Löcher.;Staubfreies, sauberes Bohren in Feinsteinzeug ohne Wasser, dank kühlendem Gel.;Inhalt 250 g, reicht für rund 20-25 Löcher, Preis CHF 10.50.;https://shop.ferronato.ch/de/product/7465/coolgel-zum-bohren-in-keramik-feinsteinzeug-inhalt-250ml?CatID=216;Plattenleger;10.5;032-660;ab Lager;Plattenleger (Hauptkategorie);CoolGEL 250 ml, günstige Bohrhilfe, die zu jeder Bohrkrone dazugekauft wird.
03 Bohren & Fräsen;Bohrkronen & Kernbohren;;3;FLEX BWE 16-9 14 Sacklochbohrer;https://shop.ferronato.ch/images/product/large/3136.jpg;FLEX BWE 16-9 14 Sacklochbohrer mit VR-Elektronik, Schnellkupplung aus Messing für 1/2-Zoll-Wasserschlauch, integrierte Wasserzuführung durch die Abtriebswelle, PRCD-Personenschutzschalter im Kabel. Leistung 1600 Watt, Drehzahl 3500-10000 U/min, Aufnahme M14, Bohrerdurchmesser 5-14 mm.;Wassergekühlter FLEX-Bohrer für schnelles, sauberes Sacklochbohren.;1600 Watt, inkl. Bügelgriff und Metallkoffer, Preis CHF 985.00.;https://shop.ferronato.ch/de/product/3136/flex-bwe-16-9-14-sacklochbohrer?CatID=216;Plattenleger;985.0;050-190;ab Lager;Plattenleger (Hauptkategorie);Starke FLEX-Marke, zentrale Maschine für Diamantbohren.
03 Bohren & Fräsen;Bohrkronen & Kernbohren;;3;Husqvarna DMS 240 Bohrsystem;https://shop.ferronato.ch/images/product/large/3788.jpg;Husqvarna DMS 240 Bohrsystem, bestehend aus Kernbohrmaschine und Bohrständer, für Bohrlöcher bis Ø250 mm in Wänden, Böden und Dächern. Spannung 230 Volt, Eingangsleistung 2.4 kW, 2 Gänge, Gewicht 20.4 kg, Spindelgewinde 1 1/4 Zoll aussen, abwinkelbar 0-60 Grad, ohne Bohrkrone.;Vollständiges Kernbohrsystem mit Bohrständer für mittelgrosse Bohrlöcher.;Max. Kronendurchmesser 250 mm, ohne Bohrkrone, Preis auf Anfrage.;https://shop.ferronato.ch/de/product/3788/husqvarna-dms-240-bohrsystem?CatID=216;Plattenleger;3.0;050-212;Nicht an Lager;Plattenleger (Hauptkategorie);Starke Husqvarna-Marke, zentrales System für professionelles Kernbohren.
03 Bohren & Fräsen;Bohrkronen & Kernbohren;;2;Husqvarna DS 250 Kernbohrständer, für BK mit max. Ø250mm;https://shop.ferronato.ch/images/product/large/7048.jpg;Husqvarna DS 250 Kernbohrständer aus Aluminium, kombinierter Fuss für Vakuum- und Dübelbefestigung. Für Bohrungen bis Ø 250 mm, geeignet für Durchbruch- und Winkelbohrungen im Heizungs- und Sanitärbau. Gewicht 16 kg, abwinkelbar 0-60°.;Präziser Kernbohrständer für Durchbrüche und Winkelbohrungen bis Ø 250 mm.;Max. Transportlänge 685 mm, leicht zu transportieren.;https://shop.ferronato.ch/de/product/7048/husqvarna-ds-250-kernbohrst-nder-f-r-bk-mit-max-250mm?CatID=216;Plattenleger;1.0;050-319;Nicht an Lager;Plattenleger (Hauptkategorie);Wichtiges Zubehör für Kernbohrungen, aber seltener Neukauf pro Betrieb.
03 Bohren & Fräsen;Fräser & Frässcheiben;5;3;Fingerfräser BETCUT DRY Vollbelag;https://shop.ferronato.ch/images/product/large/4030.jpg;Diamantfingerfräser BETCUT DRY, galvanisiert mit 45-Grad-Kragen und rundum Vollbelag, für Winkelschleifer zum Erweitern von Bohrungen, Innenflächen und Konturen. Trockenanwendung, für alle Materialien, Drehgeschwindigkeit ca. 10000 U/min, Nutzlänge 40 mm, Aufnahme M14.;Diamant-Fingerfräser zum sauberen Erweitern von Bohrlöchern und Konturen.;Durchmesser 10 bis 30 mm, Aufnahme M14, ab CHF 70.00.;https://shop.ferronato.ch/de/product/4030/fingerfr-ser-betcut-dry-vollbelag?CatID=216;Plattenleger;70.0;;;Plattenleger (Hauptkategorie);Fingerfräser BETCUT DRY zum Erweitern und Ausfräsen von Bohrungen.
03 Bohren & Fräsen;Fräser & Frässcheiben;;3;BETCUT-FAT Ø 90 - 113mm Fugenfräser;https://shop.ferronato.ch/images/product/large/4040.jpg;BETCUT-FAT Fugenfräser, Durchmesser 90 bis 113 mm, Aufnahme 22.2 mm, für Granit und universal einsetzbar, Turbo-Fräsbelag 6.0x10.0 mm, max. Drehzahl 10000 U/min.;Turbo-Fugenfräser für universelle Granit- und Fugenarbeiten.;Durchmesser 90 mm, Aufnahme 22.2 mm, Preis CHF 60.75.;https://shop.ferronato.ch/de/product/4040/betcut-fat-90-113mm-fugenfr-ser?CatID=216;Plattenleger;60.75;;;Diamantwerkzeuge, Diamanttrennscheiben 45mm -125mm;Häufig benötigtes Fräswerkzeug für Fugen- und Kantenarbeiten.
03 Bohren & Fräsen;Fräser & Frässcheiben;;3;Fingerfräser Ferrix Ø 25mm M14 mit Rundkopf;https://shop.ferronato.ch/images/product/large/6427.png;Diamantfingerfräser, galvanisiert mit Rundkopf und Vollbelag rundum, für Winkelschleifer. Erweitert Bohrungen, Innenflächen und Konturen in allen Materialien. Ø 25 mm, Nutzlänge 40 mm, Aufnahme M14, Trockenanwendung, ca. 10000 U/min.;Erweitert und bearbeitet Bohrungen und Konturen präzise am Winkelschleifer.;Nur für Trockenanwendung, Aufnahme M14 passend für gängige Winkelschleifer.;https://shop.ferronato.ch/de/product/6427/fingerfr-ser-ferrix-25mm-m14-mit-rundkopf?CatID=216;Plattenleger;119.0;030-693;Nicht an Lager;Plattenleger (Hauptkategorie);Nützlich für Ausschnitte, aber Spezialwerkzeug ohne Alltagseinsatz.
03 Bohren & Fräsen;Fräser & Frässcheiben;;2;FERRIX Diamant Frässcheibe Ø125 mm / 10 mm;https://shop.ferronato.ch/images/product/large/5545.png;Diamant-Frässcheibe Ø125 mm für Mauerschlitz-/Mauernutfräsen und Fugenfräser am Winkelschleifer. Aufnahme 22,2 mm, Segmentbreite 10 mm, Trocken- und Nassanwendung möglich, eingelötete Schutzsegmente für Kernschutz.;Präzises Fräsen von Mauerschlitzen mit geschütztem Diamantkern.;Segmentbreite 10 mm, auch als 6-mm- und 8-mm-Version erhältlich.;https://shop.ferronato.ch/de/product/5545/ferrix-diamant-fr-sscheibe-125-mm-10-mm?CatID=216;Plattenleger;168.0;031-900 10;ab Lager;Diamantwerkzeuge, Diamanttrennscheiben 45mm -125mm;Spezialisiert auf Mauernutfräsen, kein Fliesenleger-Kernprodukt.
03 Bohren & Fräsen;Fräser & Frässcheiben;;2;FERRIX Diamant Frässcheibe Ø125 mm / 8 mm;https://shop.ferronato.ch/images/product/large/5546.png;Diamant-Frässcheibe Ø125 mm für Mauerschlitz-/Mauernutfräsen und Fugenfräser am Winkelschleifer. Aufnahme 22,2 mm, Segmentbreite 8 mm, Trocken- und Nassanwendung möglich.;Präzises Fräsen von Mauerschlitzen mit robuster Segmentbreite.;Segmentbreite 8 mm, auch als 6-mm- und 10-mm-Version erhältlich.;https://shop.ferronato.ch/de/product/5546/ferrix-diamant-fr-sscheibe-125-mm-8-mm?CatID=216;Plattenleger;198.0;031-900 8;ab Lager;Diamantwerkzeuge, Diamanttrennscheiben 45mm -125mm;Spezialisiert auf Mauernutfräsen, kein Fliesenleger-Kernprodukt.
03 Bohren & Fräsen;Fräser & Frässcheiben;;2;FERRIX Diamant Frässcheibe Ø125 x22.2 mm / 6 mm;https://shop.ferronato.ch/images/product/large/5543.png;Diamant-Frässcheibe Ø125 mm für Mauerschlitz-/Mauernutfräsen und Fugenfräser am Winkelschleifer. Aufnahme 22,2 mm, Segmentbreite 6 mm, Trocken- und Nassanwendung möglich, eingelötete Schutzsegmente für Kernschutz.;Präzises Fräsen von Mauerschlitzen mit geschütztem Diamantkern.;Segmentbreite 6 mm, auch als 8-mm- und 10-mm-Version erhältlich.;https://shop.ferronato.ch/de/product/5543/ferrix-diamant-fr-sscheibe-125-x22-2-mm-6-mm?CatID=216;Plattenleger;148.0;031-900 6;ab Lager;Diamantwerkzeuge, Diamanttrennscheiben 45mm -125mm;Spezialisiert auf Mauernutfräsen, kein Fliesenleger-Kernprodukt.
03 Bohren & Fräsen;Fräser & Frässcheiben;;1;FERRIX Diamant V Fräser Ø125 mm;https://shop.ferronato.ch/images/product/large/5544.png;Diamant-V-Nut-Fräser Ø125 mm für Winkelschleifer, reine Nassanwendung, Aufnahme 22,2 mm, Segmenthöhe 12 mm, Segmentbreite 9,5 mm. Für Beton, armierten Beton, Kalksandstein, Sandstein, Estrich, Asphalt, zur Rissreparatur.;Öffnet Risse V-förmig für die fachgerechte Reparaturverfugung.;Nur für Nassanwendung, Segmenthöhe 12 mm.;https://shop.ferronato.ch/de/product/5544/ferrix-diamant-v-fr-ser-125-mm?CatID=216;Plattenleger;154.0;031-900 12K;Nicht an Lager;Diamantwerkzeuge, Diamanttrennscheiben 45mm -125mm;Sehr spezifisches Reparaturwerkzeug für Risse, selten gebraucht.
04 Schleifen, Kanten & Polieren;Frässtifte & Schleifkörper;;2;Diamant Schleifkegel gekröpft Ø 48 mm M14;https://shop.ferronato.ch/images/product/large/6001.png;Gekröpfter Diamant-Schleifkegel mit vakuumgelöteten Diamanten, Ø48 mm, Höhe ohne Aufnahme 45 mm, Plafond Ø20 mm, Aufnahme M14, Trockenanwendung.;Gekröpfte Form für Schleifarbeiten in schwer zugänglichen Ecken und an Decken.;Plafond-Durchmesser 20 mm für Deckenanschlüsse.;https://shop.ferronato.ch/de/product/6001/diamant-schleifkegel-gekr-pft-48-mm-m14?CatID=216;Plattenleger;32.0;031-970;ab Lager;Plattenleger (Hauptkategorie);Spezialform, nur für bestimmte Kantenarbeiten gebraucht.
04 Schleifen, Kanten & Polieren;Frässtifte & Schleifkörper;;2;Diamant Schleifkegel Ø 35 mm M14;https://shop.ferronato.ch/images/product/large/5999.png;Diamant-Schleifkegel Ø35 mm, Höhe ohne Aufnahme 40 mm, Aufnahme M14, Trockenanwendung.;Feiner Diamant-Schleifkegel für Kanten- und Formbearbeitung.;Auch in Ø38, 48 (gekröpft) und 50 mm erhältlich.;https://shop.ferronato.ch/de/product/5999/diamant-schleifkegel-35-mm-m14?CatID=216;Plattenleger;24.0;031-966;ab Lager;Plattenleger (Hauptkategorie);Spezialform, nur für bestimmte Kantenarbeiten gebraucht.
04 Schleifen, Kanten & Polieren;Frässtifte & Schleifkörper;;2;Diamant Schleifkegel Ø 38 mm M14;https://shop.ferronato.ch/images/product/large/6000.png;Diamant-Schleifkegel mit vakuumgelöteten Diamanten, Ø38 mm, Höhe ohne Aufnahme 35 mm, Aufnahme M14, Trockenanwendung.;Feiner Diamant-Schleifkegel für Kanten- und Formbearbeitung.;Auch in Ø35, 48 (gekröpft) und 50 mm erhältlich.;https://shop.ferronato.ch/de/product/6000/diamant-schleifkegel-38-mm-m14?CatID=216;Plattenleger;27.2;031-968;Nicht an Lager;Plattenleger (Hauptkategorie);Spezialform, nur für bestimmte Kantenarbeiten gebraucht.
04 Schleifen, Kanten & Polieren;Frässtifte & Schleifkörper;;2;Diamant Schleifkegel Ø 50 mm M14;https://shop.ferronato.ch/images/product/large/6002.png;Diamant-Schleifkegel mit vakuumgelöteten Diamanten, Ø50 mm, Höhe ohne Aufnahme 50 mm, Aufnahme M14, Trockenanwendung.;Feiner Diamant-Schleifkegel für Kanten- und Formbearbeitung.;Auch in Ø35, 38 und 48 (gekröpft) erhältlich.;https://shop.ferronato.ch/de/product/6002/diamant-schleifkegel-50-mm-m14?CatID=216;Plattenleger;36.0;031-972;ab Lager;Plattenleger (Hauptkategorie);Spezialform, nur für bestimmte Kantenarbeiten gebraucht.
04 Schleifen, Kanten & Polieren;Frässtifte & Schleifkörper;;2;Diamantfrässtift fein / spitz 0.8x8x2.35mm Pack à 10 Stück;https://shop.ferronato.ch/images/product/large/8043.png;Feiner, spitzer Diamantfrässtift zur präzisen Detailbearbeitung, Durchmesser 0.8 mm, Frästeillänge 8 mm, Gesamtlänge 43 mm, Aufnahme 2.35 mm. Verpackungseinheit 10 Stück.;Feiner Diamantfrässtift für präzise Detailarbeiten, 10er-Pack.;Aufnahme 2.35 mm, 10 Stück pro Packung, Preis CHF 24.00.;https://shop.ferronato.ch/de/product/8043/diamantfr-sstift-fein-spitz-0-8x8x2-35mm-pack-10-st-ck?CatID=216;Plattenleger;24.0;032-760;ab Lager;Plattenleger (Hauptkategorie);Kleinteil-Verbrauchsmaterial für Detailfräsarbeiten, Nischenbedarf.
04 Schleifen, Kanten & Polieren;Frässtifte & Schleifkörper;;1;DSK 3mm Set Gravurstifte gesintert 10 verschiedene Formen;https://shop.ferronato.ch/images/product/large/4207.png;DSK 3 mm Set Gravurstifte, gesintert, grob D427, Schaft Ø3x30 mm, 10-teiliges Set mit 10 verschiedenen Formen, geliefert in Plastikbox, für Trockenanwendung.;10-teiliges Gravurstift-Set für vielseitige Detailarbeiten.;10 Formen in Plastikbox, Preis CHF 180.00.;https://shop.ferronato.ch/de/product/4207/dsk-3mm-set-gravurstifte-gesintert-10-verschiedene-formen?CatID=216;Plattenleger;180.0;031-554;ab Lager;Plattenleger (Hauptkategorie);Spezialset für Gravurarbeiten, seltener Bedarf.
04 Schleifen, Kanten & Polieren;Frässtifte & Schleifkörper;;1;KSK 6 Flammenform keramisch ø16x32mm K24/36;https://shop.ferronato.ch/images/product/large/2635.png;Kleinschleifkörper KSK, Flammenform, Ø16x32 mm, Schaft Ø6x40 mm, Korn 24/36, aus Siliziumcarbid, Form E, Aufnahme 6 mm.;Kleiner Schleifkörper zum präzisen Schleifen von Detailformen.;Aufnahme 6 mm, Korn 24/36, Preis CHF 4.70.;https://shop.ferronato.ch/de/product/2635/ksk-6-flammenform-keramisch-16x32mm-k24-36?CatID=216;Plattenleger;4.7;010-072;ab Lager;Plattenleger (Hauptkategorie);Kleinteil-Zubehör für spezielle Detailarbeiten.
04 Schleifen, Kanten & Polieren;Frässtifte & Schleifkörper;;1;KSK 6 Kegelform lang keramisch ø22x70mm K36;https://shop.ferronato.ch/images/product/large/370.png;Kleinschleifkörper KSK, Kegelform lang, Ø22x70 mm, Schaft Ø6x40 mm, Korn 24/36, aus Siliziumcarbid, Form F, Aufnahme 6 mm.;Kleiner Schleifkörper zum präzisen Schleifen von Detailformen.;Aufnahme 6 mm, Korn 24/36, Preis CHF 9.60.;https://shop.ferronato.ch/de/product/370/ksk-6-kegelform-lang-keramisch-22x70mm-k36?CatID=216;Plattenleger;9.6;010-070;ab Lager;Plattenleger (Hauptkategorie);Kleinteil-Zubehör für spezielle Detailarbeiten.
04 Schleifen, Kanten & Polieren;Frässtifte & Schleifkörper;;1;KSK 6 Kegelform stumpf keramisch ø20x30mm K36;https://shop.ferronato.ch/images/product/large/374.png;Kleinschleifkörper KSK, Kegelform stumpf, Ø20x30 mm, Schaft Ø6x40 mm, Korn 24/36, aus Siliziumcarbid, Form G, Aufnahme 6 mm.;Kleiner Schleifkörper zum präzisen Schleifen von Detailformen.;Aufnahme 6 mm, Korn 24/36, Preis CHF 6.50.;https://shop.ferronato.ch/de/product/374/ksk-6-kegelform-stumpf-keramisch-20x30mm-k36?CatID=216;Plattenleger;6.5;010-071;ab Lager;Plattenleger (Hauptkategorie);Kleinteil-Zubehör für spezielle Detailarbeiten.
04 Schleifen, Kanten & Polieren;Frässtifte & Schleifkörper;;1;KSK 6 Kugelform keramisch ø25mm K36;https://shop.ferronato.ch/images/product/large/371.png;Kleinschleifkörper KSK, Kugelform, Ø25 mm, Schaft Ø6x40 mm, Korn 24/36, aus Siliziumcarbid, Form H, Aufnahme 6 mm.;Kleiner Schleifkörper zum präzisen Schleifen von Detailformen.;Aufnahme 6 mm, Korn 24/36, Preis CHF 5.10.;https://shop.ferronato.ch/de/product/371/ksk-6-kugelform-keramisch-25mm-k36?CatID=216;Plattenleger;5.1;010-074;Nicht an Lager;Plattenleger (Hauptkategorie);Kleinteil-Zubehör für spezielle Detailarbeiten.
04 Schleifen, Kanten & Polieren;Frässtifte & Schleifkörper;;1;KSK 6 Zylinder mit Rundung konkav keramisch ø25x25mm K36;https://shop.ferronato.ch/images/product/large/397.png;Kleinschleifkörper KSK, Zylinder mit konkaver Rundung, Ø25x25 mm oben Mulde nach innen, Schaft Ø6x40 mm, Korn 24/36, aus Siliziumcarbid, Form C, Aufnahme 6 mm.;Kleiner Schleifkörper zum präzisen Schleifen von Detailformen.;Aufnahme 6 mm, Korn 24/36, Preis CHF 4.80.;https://shop.ferronato.ch/de/product/397/ksk-6-zylinder-mit-rundung-konkav-keramisch-25x25mm-k36?CatID=216;Plattenleger;4.8;010-077;ab Lager;Plattenleger (Hauptkategorie);Kleinteil-Zubehör für spezielle Detailarbeiten.
04 Schleifen, Kanten & Polieren;Frässtifte & Schleifkörper;;1;KSK 6 Zylinder mit Rundung konvex keramisch ø25x25mm K36;https://shop.ferronato.ch/images/product/large/373.png;Kleinschleifkörper KSK, Zylinder mit konvexer Rundung, Ø25x25 mm oben bombiert, Schaft Ø6x40 mm, Korn 24/26, aus Siliziumcarbid, Form D, Aufnahme 6 mm.;Kleiner Schleifkörper zum präzisen Schleifen von Detailformen.;Aufnahme 6 mm, Korn 24/26, Preis CHF 4.40.;https://shop.ferronato.ch/de/product/373/ksk-6-zylinder-mit-rundung-konvex-keramisch-25x25mm-k36?CatID=216;Plattenleger;4.4;010-073;ab Lager;Plattenleger (Hauptkategorie);Kleinteil-Zubehör für spezielle Detailarbeiten.
04 Schleifen, Kanten & Polieren;Frässtifte & Schleifkörper;;1;KSK 6 Zylinderform lang keramisch ø25x38 K24/36;https://shop.ferronato.ch/images/product/large/345.png;Kleinschleifkörper KSK, Zylinderform lang, Ø25x38 mm, Schaft Ø6x40 mm, Korn 24/36, aus Siliziumcarbid, Form A, Aufnahme 6 mm.;Kleiner Schleifkörper zum präzisen Schleifen von Detailformen.;Aufnahme 6 mm, Korn 24/36, Preis CHF 6.80.;https://shop.ferronato.ch/de/product/345/ksk-6-zylinderform-lang-keramisch-25x38-k24-36?CatID=216;Plattenleger;6.8;010-075;ab Lager;Plattenleger (Hauptkategorie);Kleinteil-Zubehör für spezielle Detailarbeiten.
04 Schleifen, Kanten & Polieren;Handpads & Feilen;5;3;KGS HANDPAD DIFLEX 75x75mm;https://shop.ferronato.ch/images/product/large/6242.jpg;Diamant-Handpad dünn und flexibel, 75x75 mm, 10 mm Schaumstoffträger, für manuelles Schleifen und Polieren von Naturstein, Glas, Keramik, Metall in Nassanwendung. Metall- oder kunststoffgebunden, Körnungen 60 bis 800 verfügbar.;Flexibles Handpad für Profilflächen ohne Elektrowerkzeug.;Körnungen von 60 NI bis 800 CP1 erhältlich.;https://shop.ferronato.ch/de/product/6242/kgs-handpad-diflex-75x75mm?CatID=216;Plattenleger;44.9;;;Plattenleger (Hauptkategorie);KGS Handpad DIFLEX 75x75 mm, günstiges Handwerkzeug für Nacharbeiten.
04 Schleifen, Kanten & Polieren;Handpads & Feilen;;3;KGS TELUM® Handrutscher 90 x 55 mm Körnung 50-3000;https://shop.ferronato.ch/images/product/large/2390.png;KGS Telum Diamant-Handrutscher 90x55 mm, Körnung 50 bis 3000, Schaumstoffträger mit diamantbeschichteter Schleif- und Polierfläche. Für den Handschliff schwer zugänglicher Stellen, Ecken, Kanten, Rundungen, zum Entgraten, Anfasen und Schärfen an Naturstein, Glas, Keramik und Metall.;Diamant-Handrutscher für Ecken und Kanten, wo Maschinen nicht hinkommen.;Körnung 50 bis 3000 einzeln erhältlich, ab CHF 37.00.;https://shop.ferronato.ch/de/product/2390/kgs-telum-handrutscher-90-x-55-mm-k-rnung-50-3000?CatID=216;Plattenleger;37.0;;;Plattenleger (Hauptkategorie);Bewährte KGS-Marke, oft im Handschliff gebraucht.
04 Schleifen, Kanten & Polieren;Handpads & Feilen;;2;DMT-Diamantrutscher / Abziehstein DAS 150;https://shop.ferronato.ch/images/product/large/3901.png;DMT-Diamantrutscher, Abziehstein DAS 150, in 4 Körnungen von extragrob D76 bis extrafein D15, in Holzschachtel mit Deckel. Zum Anschärfen von Bildhauerwerkzeugen, trocken oder mit Wasser, ohne Öl, gleichmässige Diamantkorngrösse für dauerhafte Leistung.;Präziser Diamant-Abziehstein zum Schärfen von Bildhauerwerkzeugen.;Grösse 150x50 mm, 4 Körnungen einzeln erhältlich, ab CHF 209.00.;https://shop.ferronato.ch/de/product/3901/dmt-diamantrutscher-abziehstein-das-150?CatID=216;Plattenleger;209.0;;;Plattenleger (Hauptkategorie);Spezialwerkzeug fürs Schärfen, eher für Bildhauerbedarf.
04 Schleifen, Kanten & Polieren;Handpads & Feilen;;2;KGS FILEX Diamant Hand-Feilen flach 40x20 mm;https://shop.ferronato.ch/images/product/large/4094.jpg;KGS Filex Diamant-Handfeile flach, 40x20 mm, Körnungen 120 bis 800, für Nass- und Trockenschleifen, lange Lebensdauer bei Nassschliff, Diamantfläche 38.5x19 mm, empfohlen für Kalkstein, Marmor, Granit und Serpentin.;Diamant-Handfeile für präzises manuelles Schleifen von Stein.;Körnung 120 bis 800, farblich codiert, ab CHF 13.90.;https://shop.ferronato.ch/de/product/4094/kgs-filex-diamant-hand-feilen-flach-40x20-mm?CatID=216;Plattenleger;13.9;;;Plattenleger (Hauptkategorie);Nützliches Handwerkzeug für Detailschliff, kein Massenartikel.
04 Schleifen, Kanten & Polieren;Jolly-Kante;2;4;DISTAR Glider 45 PRO 2.0 für die perfekte Jolly Kante;https://shop.ferronato.ch/images/product/large/7466.jpg;Winkelschleifer-Aufsatz für den vibrationsfreien 45°-Gehrungsschnitt (Jolly-Schnitt) an Feinsteinzeug. Direkte Montage am Getriebe für starre Verbindung, passt auf gängige 115 und 125 mm Winkelschleifer, tatsächlicher Schnittwinkel 50-52°. Verstellbare Absaughaube bis 14 mm Materialstärke, für Fliesenlängen von 600 bis 3600 mm.;Macht den anspruchsvollen 45°-Jolly-Schnitt vibrationsfrei und industriell wiederholbar.;Passt auf 115/125 mm Winkelschleifer aller Marken, Preis CHF 285.00.;https://shop.ferronato.ch/de/product/7466/distar-glider-45-pro-2-0-f-r-die-perfekte-jolly-kante?CatID=216;Plattenleger / weiss;285.0;032-662;ab Lager;Plattenleger (Hauptkategorie);DISTAR Glider 45 PRO 2.0, gefragtestes Hilfsmittel für die perfekte Jolly-Kante.
04 Schleifen, Kanten & Polieren;Jolly-Kante;3;3;DISTAR Duster 45° für 115 & 125mm Trennscheiben;https://shop.ferronato.ch/images/product/large/7849.jpg;Winkelschleiferaufsatz für sauberes, staubarmes Fliesenschneiden im 45°-Winkel. Führt nahezu den gesamten Staub in den Sauger ab, Kunststoffstütze ermöglicht ermüdungsfreies Arbeiten, offene Bauweise erlaubt visuelle Kontrolle des Schnitts. Einsetzbar mit allen 115 und 125 mm Winkelschleifern.;Staubarmes 45°-Fliesenschneiden mit visueller Schnittkontrolle.;Passt auf 115/125 mm Winkelschleifer aller Marken, Preis CHF 78.00.;https://shop.ferronato.ch/de/product/7849/distar-duster-45-f-r-115-125mm-trennscheiben?CatID=216;Plattenleger;78.0;032-663;ab Lager;Plattenleger (Hauptkategorie);DISTAR Duster 45° für 115/125 mm, staubarmes Gehrungsschneiden zum kleinen Preis.
04 Schleifen, Kanten & Polieren;Polierpads;;3;BETCUT HONEYCOMB PAD Ø150 mm 1- 6;https://shop.ferronato.ch/images/product/large/4424.jpg;BETCUT Honeycomb Pad, Ø150 mm, Körnung 50 bis 10000 mit Velcrobelag, für Hartgestein und Beton, Nass- und Trockenanwendung, durchnummeriert von 1 bis 6.;Honeycomb-Pad-Set für stufenloses Polieren von Hartgestein und Beton.;6-teiliges Set, Körnung 50 bis 10000, Preis CHF 77.20.;https://shop.ferronato.ch/de/product/4424/betcut-honeycomb-pad-150-mm-1-6?CatID=216;Plattenleger;77.2;;;Plattenleger (Hauptkategorie);Komplettes Pad-Set, häufig für den Politurprozess gebraucht.
04 Schleifen, Kanten & Polieren;Polierpads;;3;BETCUT SPIRALBRICK Ø 100mm, Trockenanwendung;https://shop.ferronato.ch/images/product/large/4069.jpg;BETCUT Spiralbrick, Durchmesser 100 mm, Korn 50 bis 3000 sowie Shine-Buff-Pad, Klettverbindung, für Granit und Hartgestein, Trockenanwendung.;Bewährtes Spiralbrick-Pad für den Trockenschliff auf Granit.;Körnung 50 bis 3000, Klettverbindung, ab CHF 18.00.;https://shop.ferronato.ch/de/product/4069/betcut-spiralbrick-100mm-trockenanwendung?CatID=216;Plattenleger;18.0;;;Plattenleger (Hauptkategorie);Häufig genutztes Pad im Trockenschliff von Hartgestein.
