Sparte;Hauptkategorie (neu);Unterkategorie (neu);Top-Rang;Relevanz 1-5;Produktname;Bild;Beschreibung (max. 500 Zeichen);Feature / USP (Hauptbotschaft);Sekundäre Information;Link Ferronato-Shop;Preis CHF exkl. MwSt;Art.-Nr.;Verfügbarkeit;Alte Shop-Kategorien;Begründung Top
GaLa-Bau & Tiefbau;05 Verlegen, Heben & Transportieren;Vakuum-Verlegesysteme;;3;Probst Einhängeöse  VS-EH zu SPEEDY VS;https://shop.ferronato.ch/images/product/large/3043.jpg;PROBST Einhängeöse VS-EH mit Kettensicherung zu SPEEDY VS, Eigengewicht 3,74 kg, Tragfähigkeit 200 kg. Für gefahrlose Verlegung im Hebezeugbetrieb mit Vakuum-Hand-Verlegegerät SPEEDY VS-140 und VS-140/200.;Einhängeöse mit Kettensicherung für PROBST SPEEDY VS.;Tragfähigkeit 200 kg, passend zu SPEEDY VS-140 und VS-140/200.;https://shop.ferronato.ch/de/product/3043/x;183.0;081-250;ab Lager;GALA+Tiefbau+Renovation > PROBST für den GaLa-Bau > Vakuum-Verlegesysteme > Vakuum-Verlegung maschinell;Zubehörteil, seltener Neukauf.
GaLa-Bau & Tiefbau;05 Verlegen, Heben & Transportieren;Vakuum-Verlegesysteme;;3;Saugheber GS1 40 kg;https://shop.ferronato.ch/images/product/large/2135.jpg;Saugheber GS1 aus Kunststoff, Tragkraft ca. 40kg, Durchmesser 123mm, Eigengewicht 0,4kg. Einhandbedienung durch Zusammenklappen der Griffhälften.;Leichter Saugheber mit Einhandbedienung.;Tragkraft 40kg, Gewicht nur 0,4kg.;https://shop.ferronato.ch/de/product/2135/x;31.2;080-070;Nicht an Lager;GALA+Tiefbau+Renovation > PROBST für den GaLa-Bau > Geräte;Gerät, selten nachgekauft.
GaLa-Bau & Tiefbau;05 Verlegen, Heben & Transportieren;Vakuum-Verlegesysteme;;3;Saugheber Typ 2 aus Alu 80kg;https://shop.ferronato.ch/images/product/large/2086.jpg;Saugheber aus Aluminium, Tragkraft 80kg horizontal / 40kg vertikal. Zum Heben glatter, dichter Werkstücke, Vakuumerzeugung durch Kipphebel.;Handlicher Alu-Saugheber bis 80kg.;Für Werkstücke mit glatter, dichter Oberfläche.;https://shop.ferronato.ch/de/product/2086/x;121.0;080-072;ab Lager;Auto Produkte;Gerät, wird selten nachgekauft.
GaLa-Bau & Tiefbau;05 Verlegen, Heben & Transportieren;Vakuum-Verlegesysteme;;3;Saugplatte QJ-ES P320-500kg;https://shop.ferronato.ch/images/product/large/4471.jpg;Saugplatte für Quickjet QJ-600, Tragkraft 320-500 kg, Eigengewicht 13-21 kg, galvanisch verzinkt für dauerhaften Oberflächenschutz.;Saugplatte für Quickjet-Hebegeräte bis 500 kg.;Eigengewicht 13-21 kg, galvanisch verzinkt.;https://shop.ferronato.ch/de/product/4471/x;1.0;;;GALA+Tiefbau+Renovation > PROBST für den GaLa-Bau > Vakuum-Verlegesysteme > Vakuum-Verlegung maschinell;Systemersatzteil, seltener Nachkauf.
GaLa-Bau & Tiefbau;05 Verlegen, Heben & Transportieren;Vakuum-Verlegesysteme;;2;Ersatzdichtung zu SPS 90 SM;https://shop.ferronato.ch/images/product/large/3049.jpg;Ersatzdichtung für PROBST SPS 90 SM, hochverschleissfest, einfach aufsteckbar, zur Selbstmontage. Reine Ersatzdichtung.;Hochverschleissfeste Ersatzdichtung für PROBST SPS 90 SM.;Einfach aufsteckbar, zur Selbstmontage.;https://shop.ferronato.ch/de/product/3049/x;12.5;081-196;ab Lager;GALA+Tiefbau+Renovation > PROBST für den GaLa-Bau > Hebegeräte > Probst Ersatzteile;Verschleissdichtung mit regelmässigem Nachkauf.
GaLa-Bau & Tiefbau;05 Verlegen, Heben & Transportieren;Vakuum-Verlegesysteme;;2;NEMO GRABO - Gummidichtung;https://shop.ferronato.ch/images/product/large/6086.jpg;NEMO GRABO Gummidichtung, Ersatz-Dichtlippe aus SBR-Schaumgummi, Lebensdauer ca. 900 Kompressionen. Für Oberflächen mit Unebenheiten unter 3mm und 5°. Hebekapazität je nach Material 15-60kg horizontal bzw. 15-50kg vertikal (Glas, Fliesen, Metall, Plastik, Holz, rauer Schiefer/Beton, Trockenwand).;Ersatz-Dichtlippe für NEMO GRABO Vakuumheber.;SBR-Schaumgummi, ca. 900 Kompressionen Lebensdauer.;https://shop.ferronato.ch/de/product/6086/x;53.0;080-092 DICHTUNG;ab Lager;GALA+Tiefbau+Renovation > PROBST Kleinmaterial + Ersatzteile;Verschleissteil mit regelmässigem Nachkauf
GaLa-Bau & Tiefbau;05 Verlegen, Heben & Transportieren;Vakuum-Verlegesysteme;;2;PROBST Ersatzdichtung zu SPS 100-VS;https://shop.ferronato.ch/images/product/large/3046.jpg;PROBST Ersatzdichtung zu SPS 100-VS, einfach aufsteckbar, inkl. Spannband, zur Selbstmontage (Probst Ref. 42710031). Erhältlich in Grössen 50 bis 200.;Ersatzdichtung für PROBST Vakuum-Steinmagnet SPS 100-VS.;Zur Selbstmontage, inkl. Spannband, mehrere Grössen.;https://shop.ferronato.ch/de/product/3046/x;199.0;;;GALA+Tiefbau+Renovation > PROBST Kleinmaterial + Ersatzteile;Verschleissdichtung mit regelmässigem Nachkauf.
GaLa-Bau & Tiefbau;05 Verlegen, Heben & Transportieren;Vakuum-Verlegesysteme;;2;PROBST Ersatzdichtung zu SPS 200-VS;https://shop.ferronato.ch/images/product/large/6307.jpg;Ersatzdichtung (VS-ED-SPS-200) zum PROBST SPS 200-VS, einfach aufsteckbar inklusive Spannband, zur Selbstmontage.;Ersatzdichtung für PROBST SPS 200-VS zur Selbstmontage.;Inklusive Spannband, einfach aufsteckbar.;https://shop.ferronato.ch/de/product/6307/x;359.0;081-211;ab Lager;GALA+Tiefbau+Renovation > PROBST für den GaLa-Bau > Hebegeräte > Probst Ersatzteile;Ersatzteil mit geringer Nachfrage.
GaLa-Bau & Tiefbau;05 Verlegen, Heben & Transportieren;Vakuum-Verlegesysteme;;2;PROBST Ersatzdichtung zu SPS Steinmagnet 400/600/1200 kg zur Selbstmontage;https://shop.ferronato.ch/images/product/large/3054.jpg;PROBST Ersatzdichtung für Steinmagnet SPS 90/200/400/600 SM, hochverschleissfest, einfach aufsteckbar, zur Selbstmontage. Passend nach Tragfähigkeit 90 bis 600 kg.;Ersatzdichtung für PROBST Steinmagnete 400/600/1200 kg.;Tragfähigkeiten 90 bis 600 kg, zur Selbstmontage.;https://shop.ferronato.ch/de/product/3054/x;139.0;;;GALA+Tiefbau+Renovation > PROBST Kleinmaterial + Ersatzteile;Verschleissdichtung mit regelmässigem Nachkauf.
GaLa-Bau & Tiefbau;05 Verlegen, Heben & Transportieren;Vakuum-Verlegesysteme;;2;PROBST Ersatzdichtungen zu SPS SH;https://shop.ferronato.ch/images/product/large/4467.jpg;Ersatzdichtungen für Probst-Saugplatten SPS 200-3500 SH, hochverschleissfest, einfach aufsteckbar, zur Selbstmontage. Schwammgummidichtung passt sich Unebenheiten an, langlebig und verschleissarm.;Ersatzdichtung für Probst-Saugplatten SPS, austauschbar in Sekunden.;Erhältlich für Tragfähigkeiten von 200 bis 3500 kg.;https://shop.ferronato.ch/de/product/4467/x;228.0;;;GALA+Tiefbau+Renovation > PROBST Kleinmaterial + Ersatzteile;Klassisches Ersatzteil, seltener Einzelkauf.
GaLa-Bau & Tiefbau;05 Verlegen, Heben & Transportieren;Vakuum-Verlegesysteme;;2;Probst Ersatzdichtung zu VPH 150;https://shop.ferronato.ch/images/product/large/124.jpg;Ersatzdichtung VPH-ES-SPS-150 für Saugplatten SPS 150 kg zu PROBST VPH 150.;Original-Ersatzdichtung für PROBST Saugplatte VPH 150.;Passend zu SPS 150 kg.;https://shop.ferronato.ch/de/product/124/x;198.0;081-214;ab Lager;GALA+Tiefbau+Renovation > PROBST Kleinmaterial + Ersatzteile;Ersatzteil, Nischenprodukt.
GaLa-Bau & Tiefbau;05 Verlegen, Heben & Transportieren;Versetz- & Hebezangen;;2;PROBST Bordsteinversetzzange BVZ;https://shop.ferronato.ch/images/product/large/3211.jpg;PROBST Bordsteinversetzzange BVZ, universell einsetzbar für Gestaltungselemente im GaLa-Bau. Abnehmbare Handgriffe, austauschbare Gummimetallschienen, Öffnungsweite über Steckbolzen verstellbar. Tragfähigkeit 200 kg, Greifbereich 0-550 mm, Gewicht 11.5 kg.;Universelle Zange für Bordsteine und GaLa-Bau-Elemente.;Tragfähigkeit 200 kg, Greifbereich 0-550 mm.;https://shop.ferronato.ch/de/product/3211/x;286.0;081-036;ab Lager;GALA+Tiefbau+Renovation > PROBST für den GaLa-Bau > Hebegeräte > Handversetzgeräte;Spezialzange, einmalige und seltene Anschaffung.
GaLa-Bau & Tiefbau;05 Verlegen, Heben & Transportieren;Versetz- & Hebezangen;;2;PROBST Bordsteinversetzzange VZ-M uni;https://shop.ferronato.ch/images/product/large/1065.jpg;Rein mechanische Versetzzange für Bordsteine, einsetzbar an Radlader, Bagger oder anderem Hebezeug. Greifbereich 900-1065 mm, Eintauchtiefe 50 mm, Tragfähigkeit 200 kg, Eigengewicht 21 kg. Mit Wechselautomatik voll/leer und Einhängeöse für Kranhaken.;Versetzt Bordsteine sicher an jedem Trägergerät.;Wechselautomatik schaltet automatisch von voll auf leer.;https://shop.ferronato.ch/de/product/1065/x;1.0;081-090;Nicht an Lager;GALA+Tiefbau+Renovation > Tiefbau: Verlegung Platten, Ringe+Rohre;Spezialzange, seltener Nachkauf.
GaLa-Bau & Tiefbau;05 Verlegen, Heben & Transportieren;Versetz- & Hebezangen;;2;PROBST Bordsteinzange BZ;https://shop.ferronato.ch/images/product/large/3213.jpg;PROBST Bordsteinzange BZ zum Setzen von Bordsteinen, Randsteinen und Rinnensteinen, auch für Naturbordsteine. Kurzes Nachfassen hält die Richtschnur frei, paarweise Verwendung empfohlen. Galvanisch verzinkt, Tragfähigkeit 150 kg, Gewicht 4 kg.;Setzt Bordsteine ohne Beeinträchtigung der Richtschnur.;Tragfähigkeit 150 kg, paarweise Verwendung empfohlen.;https://shop.ferronato.ch/de/product/3213/x;88.0;;;GALA+Tiefbau+Renovation > PROBST für den GaLa-Bau > Hebegeräte > Probst Ersatzteile;Handwerkzeug, selten und einmalig gekauft.
GaLa-Bau & Tiefbau;05 Verlegen, Heben & Transportieren;Versetz- & Hebezangen;;2;PROBST EASYGRIP EXG MAXI Rabattengreifer;https://shop.ferronato.ch/images/product/large/3206.jpg;PROBST EASYGRIP EXG MAXI Rabattengreifer, kompakte mechanische Zange für grössere parallele, ebene Betonelemente wie Rabatten, Stellplatten und Bordsteine. Anhängung per Schlupf oder Kette, auch manuell mit zwei Personen einsetzbar. Tragfähigkeit 600 kg, Gewicht 17 kg.;Grössere EASYGRIP-Zange für schwere Rabatten und Bordsteine.;Tragfähigkeit 600 kg, Greifbereich 0-400 mm, 17 kg.;https://shop.ferronato.ch/de/product/3206/x;498.0;081-282;ab Lager;GALA+Tiefbau+Renovation > PROBST für den GaLa-Bau > Hebegeräte > Hebezangen + Maschinen;Spezialzange, einmalige und seltene Anschaffung.
GaLa-Bau & Tiefbau;05 Verlegen, Heben & Transportieren;Versetz- & Hebezangen;;2;PROBST EASYGRIP EXG Rabattengreifer;https://shop.ferronato.ch/images/product/large/3204.jpg;PROBST EASYGRIP EXG Rabattengreifer, kompakte mechanische Zange für parallele, ebene Betonelemente wie Rabatten, Stellplatten und Bordsteine. Anhängung per Schlupf oder Kette an Trägergerät, auch manuell mit zwei Personen einsetzbar. Tragfähigkeit 550 kg, Gewicht 12.4 kg.;Kompakte Zange für Rabatten und Bordsteine, maschinell oder manuell.;Tragfähigkeit 550 kg, Greifbereich 0-300 mm, 12.4 kg.;https://shop.ferronato.ch/de/product/3204/x;488.0;081-114;ab Lager;GALA+Tiefbau+Renovation > PROBST für den GaLa-Bau > Hebegeräte > Hebezangen + Maschinen;Spezialzange, einmalige und seltene Anschaffung.
GaLa-Bau & Tiefbau;05 Verlegen, Heben & Transportieren;Versetz- & Hebezangen;;2;PROBST Fertigteilzange FTZ I;https://shop.ferronato.ch/images/product/large/1070.jpg;Zange zum kraftvollen, sicheren Greifen und Versetzen von Betonfertigteilen, Trittstufen und Bordsteinen. Greifweitenverstellung über Federrastbolzen, Wechselautomatik voll/leer, austauschbare Gummi-Greifelemente. Greifbereich 50-520 mm, Tragfähigkeit 900 kg, Eigengewicht 55 kg.;Greift und versetzt Betonfertigteile sicher bis 900 kg.;Austauschbare Gummi-Greifelemente, galvanisch verzinkt.;https://shop.ferronato.ch/de/product/1070/x;1.0;081-072;Nicht an Lager;GALA+Tiefbau+Renovation > PROBST für den GaLa-Bau > Hebegeräte > Hebezangen + Maschinen;Spezialzange, seltener Kauf.
GaLa-Bau & Tiefbau;05 Verlegen, Heben & Transportieren;Versetz- & Hebezangen;;2;PROBST Fertigteilzange FTZ MULTI 15 und das passende Zubehör;https://shop.ferronato.ch/images/product/large/6589.jpg;Modular aufgebaute Fertigteilzange FTZ-MULTI-15, galvanisch verzinkt, mit Einhängeöse für Kranhaken und Wechselautomatik von voll auf leer. Grosser Greifbereich für nahezu alle Beton- und Natursteinelemente, austauschbare Gummi-Greifelemente einzeln erhältlich. Grundgerät Tragfähigkeit 1500 kg, Eigengewicht 98 kg, Greifbacken als separates Zubehör.;Modulare Fertigteilzange mit grossem Greifbereich für Beton- und Natursteinelemente.;Tragfähigkeit 1500 kg, Greifbacken einzeln zubuchbar.;https://shop.ferronato.ch/de/product/6589/x;2.0;;;GALA+Tiefbau+Renovation > PROBST für den GaLa-Bau > Hebegeräte;Investitionsgerät, seltener Kauf gegenüber Verbrauchsmaterial.
GaLa-Bau & Tiefbau;05 Verlegen, Heben & Transportieren;Versetz- & Hebezangen;;2;PROBST Fertigteilzange FTZ MULTI D Basisgerät ohne Backen;https://shop.ferronato.ch/images/product/large/6583.jpg;Modular aufgebaute Fertigteilzange FTZ-MULTI-15-D mit grösserer Eintauchtiefe, ein Zangenoberteil für anschraubbare Greifbacken verschiedener Aufgaben. Tragfähigkeit 1500 kg, Eigengewicht 140 kg, Eintauchtiefe 500 mm, galvanisch verzinkt. Kompatibel mit denselben Backen wie FTZ-MULTI-15, ohne Höhenverstellbare Auflage (HVA).;Modulare Fertigteilzange mit grosser Eintauchtiefe für flexible Backenwahl.;Tragfähigkeit 1500 kg, Eintauchtiefe 500 mm, Backen separat erhältlich.;https://shop.ferronato.ch/de/product/6583/x;3.0;081-057;Nicht an Lager;GALA+Tiefbau+Renovation > PROBST für den GaLa-Bau > Hebegeräte;Investitionsgerät, seltener Kauf gegenüber Verbrauchsmaterial.
GaLa-Bau & Tiefbau;05 Verlegen, Heben & Transportieren;Versetz- & Hebezangen;;2;PROBST Fertigteilzange FTZ Maxi 50;https://shop.ferronato.ch/images/product/large/6881.jpg;PROBST Fertigteilzange FTZ-Maxi-50 mit sehr grossem Greifbereich 400-1250mm für vorgefertigte Elemente. Greifweitenverstellung über Federrastbolzen, Einhängebolzen für Hebezeuge, Wechselautomatik voll/leer, austauschbare Gummi-Greifelemente. Tragfähigkeit 5000kg, Eigengewicht 260kg, Backenlänge 720mm, Eintauchtiefe 240mm.;Fertigteilzange mit grossem Greifbereich, Tragfähigkeit bis 5 Tonnen.;Greifbereich 400-1250mm, Eigengewicht 260kg, verzinkt.;https://shop.ferronato.ch/de/product/6881/x;5.0;081-260 MAXI;Nicht an Lager;GALA+Tiefbau+Renovation > PROBST für den GaLa-Bau > Geräte;Hebegerät, Investitionsgut mit langer Lebensdauer
GaLa-Bau & Tiefbau;05 Verlegen, Heben & Transportieren;Versetz- & Hebezangen;;2;PROBST Fertigteilzange FTZ maxi 25;https://shop.ferronato.ch/images/product/large/6019.jpg;PROBST Fertigteilzange FTZ-MAXI-25, universelle Zange mit sehr grossem Greifbereich für vorgefertigte Elemente. Greifweitenverstellung über Federrastbolzen, Einhängebolzen für Hebezeuge, Wechselautomatik voll/leer, austauschbare Gummi-Greifelemente, galvanisch verzinkt. Tragfähigkeit 2500kg, Gewicht 132kg, Greifbereich 200-1200mm, Backenlänge 420mm, Eintauchtiefe 255mm. Höhenverstellbare Auflage (HVA) separat erhältlich.;Universelle Fertigteilzange mit grossem Greifbereich für vorgefertigte Elemente.;Tragfähigkeit 2500kg, Greifbereich 200-1200mm, Wechselautomatik voll/leer.;https://shop.ferronato.ch/de/product/6019/x;4.0;081-358;Nicht an Lager;GALA+Tiefbau+Renovation > PROBST für den GaLa-Bau > Hebegeräte;Investitionsgut, seltener Kauf
GaLa-Bau & Tiefbau;05 Verlegen, Heben & Transportieren;Versetz- & Hebezangen;;2;PROBST Fertigteilzange FTZ uni 50;https://shop.ferronato.ch/images/product/large/6882.jpg;PROBST Fertigteilzange FTZ-Uni-50, universelle Zange mit grossem Greifbereich 0-850mm für alle Arten vorgefertigter Elemente. Greifweitenverstellung über Federrastbolzen, Einhängebolzen für Hebezeuge, Wechselautomatik voll/leer, austauschbare Gummi-Greifelemente, galvanisch verzinkt. Tragfähigkeit 5000kg, Eigengewicht 245kg, Backenlänge 720mm.;Universelle Fertigteilzange, Greifbereich 0-850mm, bis 5 Tonnen.;Eintauchtiefe 240mm, Backenlänge 720mm, verzinkt.;https://shop.ferronato.ch/de/product/6882/x;4.0;081-260 UNI;Nicht an Lager;GALA+Tiefbau+Renovation > PROBST für den GaLa-Bau > Hebegeräte;Hebegerät, Investitionsgut mit langer Lebensdauer
GaLa-Bau & Tiefbau;05 Verlegen, Heben & Transportieren;Versetz- & Hebezangen;;2;PROBST Fertigteilzange FTZ-uni 15;https://shop.ferronato.ch/images/product/large/4254.jpg;PROBST Fertigteilzange FTZ-uni 15, zum kraftvollen und sicheren Greifen und Versetzen von Betonfertigteilen, Trittstufen und Bordsteinen. Galvanisch verzinkt mit Einhängeöse für Kranhaken, austauschbare Gummimetallschienen, Wechselautomatik voll/leer. Greifbereich 0-750 mm, Eintauchtiefe 255 mm, Backenlänge 420 mm, Tragfähigkeit 1500 kg, Eigengewicht 85 kg.;Fertigteilzange für Bordsteine und Betonfertigteile, bis 1500 kg.;Greifbereich 0-750 mm, Tragfähigkeit 1500 kg.;https://shop.ferronato.ch/de/product/4254/x;2.0;081-054;Nicht an Lager;GALA+Tiefbau+Renovation > Tiefbau: Verlegung Platten, Ringe+Rohre;Zentrales PROBST-Verlegegerät, seltener Nachkauf.
GaLa-Bau & Tiefbau;05 Verlegen, Heben & Transportieren;Versetz- & Hebezangen;;2;PROBST Fertigteilzange FTZ-uni 25;https://shop.ferronato.ch/images/product/large/3200.jpg;PROBST Fertigteilzange FTZ-uni 25 mit Wechselautomatik von voll auf leer, Einhängeöse für Kranhaken und austauschbaren Gummi-Greifelementen. Greifbereich 0-750 mm, Eintauchtiefe 255 mm, Backenlänge 420 mm, Tragfähigkeit 2500 kg, Gewicht 115 kg.;Vollautomatische Zange für schwere Betonfertigteile.;Tragfähigkeit 2500 kg, Greifbereich 0-750 mm, 115 kg.;https://shop.ferronato.ch/de/product/3200/x;3.0;081-258;Nicht an Lager;GALA+Tiefbau+Renovation > PROBST für den GaLa-Bau > Hebegeräte > Hebezangen + Maschinen;Schwere Investitionszange, einmalige Anschaffung.
GaLa-Bau & Tiefbau;05 Verlegen, Heben & Transportieren;Versetz- & Hebezangen;;2;PROBST Findling-Versetzzange FVZ-uni;https://shop.ferronato.ch/images/product/large/3195.png;PROBST Findling-Versetzzange FVZ-uni3 zum formunabhängigen, millimetergenauen Versetzen von Findlingen und Steinquadern. Mit Kettengehänge und Einhängeöse für Kranhaken. Tragfähigkeit 1500 kg, Greifbereich 0-950 mm, Eigengewicht 99 kg.;Versetzt Findlinge und Steinquader formunabhängig.;Tragfähigkeit 1500 kg, Greifbereich 0-950 mm, 99 kg.;https://shop.ferronato.ch/de/product/3195/x;3.0;081-256;Nicht an Lager;GALA+Tiefbau+Renovation > PROBST für den GaLa-Bau > Hebegeräte > Hebezangen + Maschinen;Schwere Spezialzange, einmalige Anschaffung.
GaLa-Bau & Tiefbau;05 Verlegen, Heben & Transportieren;Versetz- & Hebezangen;;2;PROBST HVZ-PAVERTRON Elektro-hydraulische Verlegezange;https://shop.ferronato.ch/images/product/large/5303.jpg;Probst HVZ-Pavertron, elektro-hydraulische Verlegezange für Baggeranbau ab 2,5 Tonnen. Speed-Programm und Booster-Funktion für kurze Zykluszeiten, bis zu 700m² Verlegeleistung pro Tag.;Elektro-hydraulische Baggerzange für schnelles Pflasterverlegen.;Für Bagger ab 2,5 Tonnen, bis 700m²/Tag.;https://shop.ferronato.ch/de/product/5303/x;19.0;081-318;Nicht an Lager;GALA+Tiefbau+Renovation > PROBST für den GaLa-Bau > Pflaster- & Verlegesysteme;Grossgerät, seltener Kauf trotz hoher Investition.
GaLa-Bau & Tiefbau;05 Verlegen, Heben & Transportieren;Versetz- & Hebezangen;;2;PROBST Hand-Findling-Versetzzange FVZ uni;https://shop.ferronato.ch/images/product/large/1054.jpg;Handzange für kleinere Findlinge, die von zwei Personen getragen werden. Tragkraft 200 kg, Eigengewicht 18 kg, Greifbereich 0-600 mm über Rastersystem verstellbar. Mit Einhängeösen auch für maschinellen Einsatz, galvanisch verzinkt.;Versetzt kleinere Findlinge sicher von Hand oder maschinell.;Greifbereich über Rastersystem schnell verstellbar.;https://shop.ferronato.ch/de/product/1054/x;1.0;081-044;Nicht an Lager;GALA+Tiefbau+Renovation > PROBST für den GaLa-Bau > Hebegeräte > Handversetzgeräte;Spezialzange, seltener Nachkauf.
GaLa-Bau & Tiefbau;05 Verlegen, Heben & Transportieren;Versetz- & Hebezangen;;2;PROBST Hydraulische Verlegezange HVZ-UNI-II;https://shop.ferronato.ch/images/product/large/5986.png;PROBST Hydraulische Verlegezange HVZ-UNI-II für Trägergeräte mit zwei getrennten Hydraulikkreisen. Über Skalen einstellbare Haupt- und Nebenspannweite, hydraulisch hochklappbare Nebenspannbacken, Abdrückvorrichtung ADV für normgerechte Fugenabstände, kraftvolle Nebenspannung für Verschiebung in den Läuferverband. Tragfähigkeit 400kg, Eigengewicht 225kg, Öffnungsweite Hauptspannung 580-1260mm, Nebenspannung 960-1440mm, Backenlänge 1200mm.;Hydraulische Verlegezange für Pflastersteinlagen mit Haupt- und Nebenspannung.;Tragfähigkeit 400kg, Öffnungsweite Hauptspannung 580-1260mm.;https://shop.ferronato.ch/de/product/5986/x;15.0;081-315;Nicht an Lager;GALA+Tiefbau+Renovation > PROBST für den GaLa-Bau > Pflaster- & Verlegesysteme;Investitionsgut, seltener Kauf
GaLa-Bau & Tiefbau;05 Verlegen, Heben & Transportieren;Versetz- & Hebezangen;;2;PROBST Höhenverstellbare Auflage HVA Grau;https://shop.ferronato.ch/images/product/large/8202.png;Höhenverstellbare Auflage für PROBST-Zangen der Typen FTZ-uni/maxi/multi sowie TSZ-uni, graue Gummierung, Verstellbereich ca. 50-140 mm. Lieferung als Paar, ohne Zange.;Höhenverstellbare Auflage für PROBST-Verlegezangen.;Verstellbereich 50-140 mm, pro Paar, ohne Zange.;https://shop.ferronato.ch/de/product/8202/x;160.0;081-120 GR;ab Lager;GALA+Tiefbau+Renovation > PROBST Kleinmaterial + Ersatzteile;Systemzubehör, eher seltener Nachkauf.
GaLa-Bau & Tiefbau;05 Verlegen, Heben & Transportieren;Versetz- & Hebezangen;;2;PROBST Höhenverstellbare Auflage HVA Schwarz;https://shop.ferronato.ch/images/product/large/8200.png;Höhenverstellbare Auflage für PROBST-Zangen der Typen FTZ-uni/maxi/multi sowie TSZ-uni, schwarze Gummierung, Verstellbereich ca. 50-140 mm. Lieferung als Paar, ohne Zange.;Höhenverstellbare Auflage für PROBST-Verlegezangen.;Verstellbereich 50-140 mm, pro Paar, ohne Zange.;https://shop.ferronato.ch/de/product/8200/x;129.0;081-120 SW;ab Lager;GALA+Tiefbau+Renovation > PROBST Kleinmaterial + Ersatzteile;Systemzubehör, eher seltener Nachkauf.
GaLa-Bau & Tiefbau;05 Verlegen, Heben & Transportieren;Versetz- & Hebezangen;;2;PROBST KKV-200;https://shop.ferronato.ch/images/product/large/6053.jpg;PROBST Kabelkanal-Versetzzange KKV-200, rein mechanisch greifend, für jedes Hebezeug einsetzbar, innen greifend für enge Platzverhältnisse. Austauschbare Stahlpratzen, Einhängeöse für Kranhaken, Wechselautomatik voll/leer, galvanisch verzinkt. Für Kabelkanäle II-IF, III-IF, IIIa-IF, IV-IF. Tragfähigkeit 500kg, Gewicht 50kg, Backenlänge 400mm. Grundgerät ohne Stahlpratzen.;Mechanische Kabelkanal-Versetzzange für Kabelkanäle II-IV-IF.;Tragfähigkeit 500kg, Grundgerät ohne Stahlpratzen.;https://shop.ferronato.ch/de/product/6053/x;4.0;081-357;Nicht an Lager;GALA+Tiefbau+Renovation > Tiefbau: Verlegung Platten, Ringe+Rohre;Investitionsgut, seltener Kauf
GaLa-Bau & Tiefbau;05 Verlegen, Heben & Transportieren;Versetz- & Hebezangen;;2;PROBST KKV-200 Stahlpratze KKV-A-185/210  für I-IF,III-IF, IIIa-IF,IV-IF,;https://shop.ferronato.ch/images/product/large/6091.jpg;PROBST Stahlpratze KKV-A-185/210 für die Kabelkanal-Versetzzange KKV-200, für Kabelkanäle I-IF, III-IF, IIIa-IF, IV-IF. Austauschbare Adaptersätze als Greifelemente, Greifbereich 185-210mm, Gewicht 5kg. Ohne KKV-200.;Austauschbare Stahlpratzen für breite Kabelkanäle, Greifbereich 185-210mm.;Gewicht 5kg, ohne Grundgerät KKV-200.;https://shop.ferronato.ch/de/product/6091/x;861.0;081-359;Nicht an Lager;GALA+Tiefbau+Renovation > Tiefbau: Verlegung Platten, Ringe+Rohre;Systemzubehör, seltener Kauf
GaLa-Bau & Tiefbau;05 Verlegen, Heben & Transportieren;Versetz- & Hebezangen;;2;PROBST KKV-200 Stahlpratze KKV-A-330/355 für I-IF,III-IF, IIIa-IF,IV-IF,;https://shop.ferronato.ch/images/product/large/6090.jpg;PROBST Stahlpratze KKV-A-330/355 für die Kabelkanal-Versetzzange KKV-200, für Kabelkanäle I-IF, III-IF, IIIa-IF, IV-IF. Austauschbare Adaptersätze als Greifelemente, Greifbereich 330-355mm, Gewicht 3.5kg. Ohne KKV-200.;Austauschbare Stahlpratzen für extrem breite Kabelkanäle, 330-355mm.;Gewicht 3.5kg, ohne Grundgerät KKV-200.;https://shop.ferronato.ch/de/product/6090/x;368.0;081-361;Nicht an Lager;GALA+Tiefbau+Renovation > Tiefbau: Verlegung Platten, Ringe+Rohre;Systemzubehör, seltener Kauf
GaLa-Bau & Tiefbau;05 Verlegen, Heben & Transportieren;Versetz- & Hebezangen;;2;PROBST PC-200 Panel Zange bis 200kg PC 200;https://shop.ferronato.ch/images/product/large/6577.jpg;Zange für das vertikale Setzen von Schall- und Sichtschutzwänden aus Beton zwischen einbetonierte U-Profile. Einfacher Greifvorgang über Federriegel-Bolzen, 4- bis 5-fache Greifkraft, hell nicht färbende Gummigreifbacken, Schwerpunktausgleich über 2 Einstellpositionen. Tragfähigkeit 200 kg, Greifbereich 20-80 mm, Eigengewicht 12 kg, galvanisch verzinkt.;Zange zum sicheren, vertikalen Versetzen von Beton-Schallschutzwänden.;Tragfähigkeit 200 kg, Greifbereich 20-80 mm, geringes Eigengewicht.;https://shop.ferronato.ch/de/product/6577/x;866.0;081-133;Nicht an Lager;GALA+Tiefbau+Renovation > Tiefbau: Verlegung Platten, Ringe+Rohre;Spezialgerät für Wandmontage, seltener Kaufanlass.
